id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Carley;Harvey;Harold23@yahoo.com;tangible;2025-02-13T06:45:30;6509;405
2;Jessie;Wehner;David_Collier@yahoo.com;traffic furiously drat;2025-02-12T16:36:53;18954;2944
3;Reina;Simonis;Kristy8@hotmail.com;snack;2025-02-13T08:29:11;28741;2232
4;Verla;Von;Sedrick_Murazik71@yahoo.com;solicit;2025-02-12T15:33:56;32096;4156
5;Una;Konopelski;Felton_Schultz@hotmail.com;sunder truthfully scenario;2025-02-12T14:10:16;15596;21538
6;Glenda;Hudson;Frederik17@hotmail.com;instantly;2025-02-13T12:55:33;252;18950
7;Emily;Strosin;Deron41@hotmail.com;with;2025-02-13T06:01:16;16116;30762
8;Elza;Stracke;Ellis.Schumm35@yahoo.com;anenst;2025-02-13T06:24:07;16273;11352
9;Simeon;Wyman;Alison.Kunde-Swift75@hotmail.com;finally;2025-02-13T07:45:33;1888;28466
10;Dakota;Welch;Elyssa.Simonis@gmail.com;over;2025-02-13T08:14:41;8729;6136
